"Date","Open","High","Low","Close","Adj Close","Volume","all_time_high","return_6_months","return_1_year","return_2_years","return_5_years"
"2000-01-03 00:00:00",148.25,148.25,143.875,145.4375,93.5912094116211,"8164300",1,0.01764055606228225,-0.10499668750464144,-0.18005219941621498,-0.12304328612582494
"2000-01-04 00:00:00",143.53125,144.0625,139.640625,139.75,89.93116760253906,"8089800","",0.039956536854680626,-0.023830413648133465,-0.1536389779713319,-0.0830376659666571
"2000-01-05 00:00:00",139.9375,141.53125,137.25,140,90.09202575683594,"12177900","",0.04617479448351879,-0.03606203035057164,-0.1514219960432033,-0.09098193494167188
"2000-01-06 00:00:00",139.625,141.5,137.75,137.75,88.64411163330078,"6227200","",0.08036097824888558,-0.05229705645894601,-0.14603063097691743,-0.07308541762757664
"2000-01-07 00:00:00",140.3125,145.75,140.0625,145.75,93.79222869873047,"8066500",1,0.01933772507256863,-0.0973819165927457,-0.1979599033150351,-0.13098128406516107
"2000-01-10 00:00:00",146.25,146.90625,145.03125,146.25,94.11402893066406,"5741700",1,0.018000093063117385,-0.10284317551460742,-0.19419443414463078,-0.12938756524348732
"2000-01-11 00:00:00",145.8125,146.09375,143.5,144.5,92.98788452148438,"7503700","",0.037064899654646974,-0.07602418685492449,-0.20093799628293416,-0.1096778925818511
"2000-01-12 00:00:00",144.59375,144.59375,142.875,143.0625,92.06279754638672,"6907700","",0.05209584436044023,-0.0658570107952735,-0.1868279680165213,-0.11014029753403021
"2000-01-13 00:00:00",144.46875,145.75,143.28125,145,93.30960845947266,"5158300","",0.04821656942030013,-0.08008158768603524,-0.201363550473959,-0.12737765465164852
"2000-01-14 00:00:00",146.53125,147.46875,145.96875,146.96875,94.57652282714844,"7437300",1,0.032466130712515494,-0.08660302311957713,-0.21749373645466474,-0.14434251287517746
"2000-01-18 00:00:00",145.34375,146.625,145.1875,145.8125,93.83245086669922,"6488500","",0.032146451277754014,-0.07513671854514019,-0.20525267206811199,-0.1392561083363614
"2000-01-19 00:00:00",145.3125,147,145,147,94.59663391113281,"6157900",1,0.015583229897322116,-0.07347811955347903,-0.2092359284682518,-0.1437921053119735
"2000-01-20 00:00:00",146.96875,146.96875,143.8125,144.75,93.1487808227539,"5800100","",0.04568727984321983,-0.06442176336412624,-0.1971567827106074,-0.12787974508069613
"2000-01-21 00:00:00",145.5,145.5,144.0625,144.4375,92.9476089477539,"6244800","",0.027513560274054574,-0.05616601858238345,-0.1932226086404069,-0.12450080354899506
"2000-01-24 00:00:00",145.65625,145.84375,139.40625,140.34375,90.31321716308594,"7896900","",0.051444329536878206,-0.020984438143958024,-0.195796100775719,-0.09896292589318012
"2000-01-25 00:00:00",140.515625,141.9375,139,141.9375,91.33882141113281,"9942500","",0.04295636755278709,-0.02908520758752826,-0.1933610380654399,-0.10354200923791773
"2000-01-26 00:00:00",141,141.546875,140.09375,140.8125,90.61491394042969,"5158100","",0.041029872835726094,-0.02379516241284262,-0.17739624173555146,-0.0906449380899915
"2000-01-27 00:00:00",141.84375,142.21875,138.125,140.25,90.25291442871094,"10922700","",0.04162285718150103,-0.02100606696912752,-0.1779642304957974,-0.08423331921623922
"2000-01-28 00:00:00",139.4375,140.0625,135.53125,135.875,87.43755340576172,"11916200","",0.05089351662192648,0.015908308585534024,-0.17258611339792848,-0.057203649193346084
"2000-01-31 00:00:00",135.8125,139.671875,135,139.5625,89.81049346923828,"10768700","",0.02965287507493645,-0.0022445468732864007,-0.19943447137064407,-0.07231464160349436
"2000-02-01 00:00:00",139.75,141.6875,138.53125,140.9375,90.69532012939453,"8419900","",0.02584681185472244,-0.017571393829394065,-0.21065744295092953,-0.08258804098416024
"2000-02-02 00:00:00",141.28125,142.25,140.375,141.0625,90.7757797241211,"6205900","",0.03005716092475788,-0.01192352130324656,-0.21629086775832537,-0.08233245753987402
"2000-02-03 00:00:00",140.875,143.25,140,143.1875,92.14324951171875,"7997500","",0.021788961200258333,-0.0486766191398811,-0.21312592114196766,-0.1027201218805372
"2000-02-04 00:00:00",143.1875,144,142.125,142.59375,91.7611312866211,"4925400","",0.0315493524531452,-0.037699187225078916,-0.2001598860593574,-0.0957359144580482
"2000-02-07 00:00:00",142.5625,142.78125,141.4375,142.375,91.62039184570312,"5845800","",0.04548605247388846,-0.03906013456055975,-0.20144763020128126,-0.08655645144904582
"2000-02-08 00:00:00",143.96875,144.5625,143.625,144.3125,92.8671875,"4936400","",0.03536623517287794,-0.05686317970787415,-0.20380022227538488,-0.09949164857091781
"2000-02-09 00:00:00",144.46875,144.46875,141.265625,141.28125,90.91648864746094,"8511500","",0.048690541585414505,-0.04785657929783027,-0.18823799326754614,-0.07674030676184142
"2000-02-10 00:00:00",141.625,142.5625,140.875,141.5625,91.09754180908203,"6690600","",0.04150402120141165,-0.05888569141725229,-0.19830998069819972,-0.0779665599053025
"2000-02-11 00:00:00",141.84375,141.9375,138.03125,138.6875,89.2474136352539,"9849800","",0.06807677350949581,-0.028373450578940362,-0.19740888849793342,-0.06646168860106359
"2000-02-14 00:00:00",139.78125,139.78125,138.3125,139.5,89.77030181884766,"8528800","",0.07536171086876134,-0.041928893466151376,-0.18865805121085316,-0.07066459647335674
